Typ;Ort;Datum;Wert
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-01;6,5
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-02;8,5
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-03;6,7
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-04;8,4
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-05;11,7
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-06;12
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-07;0
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-08;4,8
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-09;11
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-10;8,1
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-11;6,9
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-12;8,9
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-13;10
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-14;0,5
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-15;12,1
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-16;7,9
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-17;8,4
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-18;10,7
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-19;10,8
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-20;13,2
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-21;13,2
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-22;9,3
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-23;7,5
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-24;9,8
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-25;0
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-26;0,1
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-27;2,4
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-28;8,7
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-29;10,2
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-04-30;5
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-01;5,9
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-02;7,1
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-03;8,5
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-04;5,4
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-05;4,9
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-06;10
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-07;3,8
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-08;7,7
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-09;2,3
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-10;6,8
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-11;11,4
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-12;4,8
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-13;8,6
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-14;0,1
Sonnenscheindauer;Hamburg-FuhlsbǬttel;2015-05-15;7,2
